horizonte,modelo,real,previsto
1_hora,Ensemble,1135.3658,1142.7284271996257
1_hora,Ensemble,1180.8513,1188.5351901018273
1_hora,Ensemble,1176.3302,1194.8967876627564
1_hora,Ensemble,1197.8686,1169.5921427930805
1_hora,Ensemble,1184.6651,1202.5929774413974
1_hora,Ensemble,1173.1649,1166.0128876827587
1_hora,Ensemble,1152.1581,1153.9109849473227
1_hora,Ensemble,1139.1794,1138.1428652317766
1_hora,Ensemble,1207.5323,1190.8374062118285
1_hora,Ensemble,1266.2507,1247.0180211128106
1_hora,Ensemble,1277.0317,1266.1684457940225
1_hora,Ensemble,1282.5104,1261.8723917315065
1_hora,Ensemble,1235.6524,1225.2354578766942
1_hora,Ensemble,1159.4846,1171.6330223469977
1_hora,Ensemble,1111.0678,1103.7533046406054
1_hora,Ensemble,1066.7049,1066.4066417612069
1_hora,Ensemble,1019.8599,1033.5791837075542
1_hora,Ensemble,1004.4945,999.353761852948
1_hora,Ensemble,1006.1143,988.2446363331443
1_hora,Ensemble,1029.0181,1017.5433391259453
1_hora,Ensemble,1036.3265,1029.2140636904496
1_hora,Ensemble,1162.2073,1170.390020059227
1_hora,Ensemble,1331.2557,1339.6924585824281
1_hora,Ensemble,1426.5374,1431.6440018976484
1_hora,Ensemble,1505.6589,1503.1982038010476
1_hora,Ensemble,1558.5418,1541.2908467980753
1_hora,Ensemble,1539.3202,1541.9956683828211
1_hora,Ensemble,1568.1608,1547.7070496110555
1_hora,Ensemble,1581.0632,1557.0321168648125
1_hora,Ensemble,1545.6118,1545.4295425711268
1_hora,Ensemble,1440.8532,1450.488571746714
1_hora,Ensemble,1352.5567,1333.561370882432
1_hora,Ensemble,1391.8539,1341.8937113658928
1_hora,Ensemble,1417.6966,1394.1412684260856
1_hora,Ensemble,1385.0937,1370.428965190871
1_hora,Ensemble,1340.0675,1340.2773659801496
1_hora,Ensemble,1269.4755,1282.7806302050842
1_hora,Ensemble,1195.5243,1203.462569725618
1_hora,Ensemble,1142.2585,1131.3364117989079
1_hora,Ensemble,1115.125,1091.2603699498097
1_hora,Ensemble,1073.519,1079.1716395711776
1_hora,Ensemble,1043.1857,1049.056751362056
1_hora,Ensemble,1009.327,1028.7854053244052
1_hora,Ensemble,1030.4039,1028.3850040101415
1_hora,Ensemble,1032.2578999999998,1033.0294796126448
1_hora,Ensemble,1166.8676,1161.8552812301696
1_hora,Ensemble,1338.7657000000002,1337.897010649381
1_hora,Ensemble,1445.1745,1433.5660301894666
1_hora,Ensemble,1522.0642,1517.479795153217
1_hora,Ensemble,1556.6408,1551.302726251167
1_hora,Ensemble,1562.063,1548.1870645578729
1_hora,Ensemble,1563.3533,1571.4167230099447
1_hora,Ensemble,1589.4095,1547.3405146307305
1_hora,Ensemble,1520.3733,1547.864597700707
1_hora,Ensemble,1461.8034,1439.7670693851378
1_hora,Ensemble,1340.859,1353.7462142971735
1_hora,Ensemble,1358.1384,1343.5054832153583
1_hora,Ensemble,1410.0294,1390.3103200562437
1_hora,Ensemble,1379.7418,1372.5171495745114
1_hora,Ensemble,1337.8756,1331.5655853503458
1_hora,Ensemble,1277.8696,1279.6985862699364
1_hora,Ensemble,1187.7384000000002,1204.6747908128252
1_hora,Ensemble,1130.0352,1122.678695352877
1_hora,Ensemble,1103.1575,1087.605245808898
1_hora,Ensemble,1069.2276,1065.8225556116815
1_hora,Ensemble,1041.5339,1041.7884603251398
1_hora,Ensemble,1035.3078,1027.426807563089
1_hora,Ensemble,1058.7347,1052.9606189034191
1_hora,Ensemble,1066.6725,1059.8667948165332
1_hora,Ensemble,1209.3474,1187.3060491554345
1_hora,Ensemble,1381.6701999999998,1362.2673791814202
